name,cat1,cat2,address,lat,long,kakao,naver
레알라면,일반식당,분식,서울 동대문구 회기로25길 23-5,37.59649608,127.0605612,2010101275,1821296707
언니네 함바그,일반식당,양식,서울 동대문구 회기로25길 59 1층,37.59238494,127.0567675,890690097,1131653029
홍곱창,일반식당,"곱창, 막창",서울 동대문구 회기로25길 60,37.59232632,127.0568835,24374184,12851206
홀스베이크,카페,디저트,서울 동대문구 회기로23길 20 1층,37.5916765,127.0544599,864128412,1113152712
제작자 취향 컴투레스트,카페,디저트,서울 동대문구 회기로 161-11 1층,37.59124189,127.0541992,1464245235,1168660167
멍군집,일반식당,고기,서울 동대문구 회기로 148-4 1층,37.59126736,127.052665,1792106573,1546873647
거복이식당,일반식당,고기,서울 동대문구 경희대로3길 6 1층,37.59276773,127.0521735,216690046,1770334939
79번지국수집,일반식당,국수,서울 동대문구 회기로13길 25 1층,37.59265562,127.0510043,32005753,15960470
락식락당,일반식당,한식,서울 동대문구 경희대로4길 6 지하1층,37.59249038,127.05283,19387152,32006188
빅문,일반식당,호프,서울 동대문구 회기로26길 6 지하1층,37.59019661,127.0544815,151366023,1952948885
코타,일반식당,멕시코음식,서울 동대문구 회기로21길 7 2층,37.59177176,127.053005,581372208,1066652293
불난철판,일반식당,철판요리,서울 동대문구 회기로21길 26 지하 1층,37.59257798,127.0533821,2096477298,1473464928
일구구삼,일반식당,고기,서울 동대문구 회기로19길 18 1층,37.59235291,127.0529941,1228074568,1316861264
오관스시,일반식당,초밥,서울 동대문구 회기로 121 1층,37.59158609,127.0500723,1724102273,37792323
크치치킨,일반식당,치킨,서울 동대문구 회기로 125 1층,37.59158361,127.0505988,355730477,754792240
인생소곱창,일반식당,"곱창, 막창",서울 동대문구 회기로21길 9 1층,37.59187761,127.0530617,346833581,1254303342
골목족발,일반식당,"족발, 보쌈",서울 동대문구 회기로26길 5,37.5902258,127.054674,1977124299,1000180565
고기야미안해,일반식당,회,서울 동대문구 경희대로4길 20 1층,37.59224898,127.0536847,17077406,21086215
경성고기꾼,일반식당,고기,서울 동대문구 회기로21길 8,37.59182798,127.0532259,27478309,37362729
모코모코,일반식당,일식,서울 동대문구 회기로 147 2층,37.59159163,127.052869,1992407871,1351080021
그옛날1947왕만두,포장,만두,서울 동대문구 회기로 171-2,37.59046204,127.0552516,1590051819,1005804632
